"filename", "language", "JavaScript", "CSS", "JavaScript JSX", "SQL", "JSON", "HTML", "Markdown", "comment", "blank", "total"
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/hooks/useReduxStore.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 10, 6, 21
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/index.css", "CSS", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/index.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 6, 23
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/redux/reducers/_root.reducer.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 5, 4, 19
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/redux/reducers/errors.reducer.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 7, 4, 42
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/redux/reducers/profile.reducer.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/redux/reducers/user.reducer.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 2, 2, 15
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/redux/sagas/_root.saga.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 6, 3, 22
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/redux/sagas/login.saga.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 20, 10, 67
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/redux/sagas/profile.saga.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 5, 28
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/redux/sagas/registration.saga.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 6, 7, 30
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/redux/sagas/user.saga.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 8, 6, 32
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/redux/store.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 8, 6, 29
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/tailwind.config.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 1, 2, 10
"Total", "-", 441, 8, 505, 49, 19053, 15, 83, 211, 279, 20644
