"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "JSON", "SQL", "Markdown", "HTML", "comment", "blank", "total"
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/components/JobsPage/JobsList/JobsList.jsx", "JavaScript JSX", 0, 29, 0, 0, 0, 0, 0, 2, 4, 35
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/components/JobsPage/JobsPage.css", "CSS", 0, 0, 91, 0, 0, 0, 0, 0, 13, 104
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/components/JobsPage/JobsPage.jsx", "JavaScript JSX", 0, 154, 0, 0, 0, 0, 0, 14, 42, 210
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/components/LandingPage/LandingPage.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/components/LandingPage/LandingPage.jsx", "JavaScript JSX", 0, 33, 0, 0, 0, 0, 0, 1, 8, 42
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/components/LandingPage/LandingPageHeader.jsx", "JavaScript JSX", 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/components/Layout/Layout.jsx", "JavaScript JSX", 0, 13, 0, 0, 0, 0, 0, 1, 3, 17
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/components/LogOutButton/LogOutButton.jsx", "JavaScript JSX", 0, 16, 0, 0, 0, 0, 0, 3, 3, 22
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/components/LoginForm/LoginForm.jsx", "JavaScript JSX", 0, 73, 0, 0, 0, 0, 0, 0, 10, 83
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/components/LoginPage/LoginPage.jsx", "JavaScript JSX", 0, 23, 0, 0, 0, 0, 0, 0, 5, 28
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/components/NavBar/NavBar.jsx", "JavaScript JSX", 0, 215, 0, 0, 0, 0, 0, 8, 20, 243
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/components/ProtectedRoute/ProtectedRoute.jsx", "JavaScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/components/RegisterForm/RegisterForm.jsx", "JavaScript JSX", 0, 160, 0, 0, 0, 0, 0, 7, 25, 192
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/components/RegisterPage/RegisterPage.jsx", "JavaScript JSX", 0, 23, 0, 0, 0, 0, 0, 0, 6, 29
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/components/ResourcesPage/AddResource.jsx", "JavaScript JSX", 0, 140, 0, 0, 0, 0, 0, 0, 20, 160
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/components/ResourcesPage/ResourceItem.jsx", "JavaScript JSX", 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/components/ResourcesPage/ResourcesPage.css", "CSS", 0, 0, 37, 0, 0, 0, 0, 0, 6, 43
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/components/ResourcesPage/ResourcesPage.jsx", "JavaScript JSX", 0, 85, 0, 0, 0, 0, 0, 0, 13, 98
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/components/Tech/TechCurrent.jsx", "JavaScript JSX", 0, 25, 0, 0, 0, 0, 0, 5, 18, 48
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/components/Tech/TechKnown.jsx", "JavaScript JSX", 0, 31, 0, 0, 0, 0, 0, 5, 21, 57
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/components/TemplateClass/TemplateClass.jsx", "JavaScript JSX", 0, 20, 0, 0, 0, 0, 0, 6, 7, 33
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/components/TemplateFunction/TemplateFunction.jsx", "JavaScript JSX", 0, 12, 0, 0, 0, 0, 0, 5, 4, 21
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/components/UserPage/UserPage.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 0, 0, 2, 5, 22
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/components/profilePage/EditProfilePage.jsx", "JavaScript JSX", 0, 200, 0, 0, 0, 0, 0, 293, 49, 542
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/components/profilePage/ProfilePage.jsx", "JavaScript JSX", 0, 150, 0, 0, 0, 0, 0, 11, 28, 189
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/config/firebase.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 3, 2, 20
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/hooks/useReduxStore.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 10, 6, 21
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/index.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/index.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/redux/reducers/_root.reducer.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 5, 6, 39
